Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,wallet: MtGox-Hack,79957.27 BTC,79957.27 BTC,0.00 BTC,671.0,Multiple Txs (Old),2026-03-03,Dormant,Likely Stolen/Frozen,Legacy (1...),
2,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,,53880.07 BTC,53880.07 BTC,0.00 BTC,245.0,Multiple Txs (Old),2026-03-08,Dormant,Unspent/Lost Keys?,Legacy (1...),
3,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,,51830.40 BTC,51830.40 BTC,0.00 BTC,159.0,Multiple Txs (Old),2026-01-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
4,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,wallet: 967,31000.08 BTC,52700.08 BTC,21700.00 BTC,250.0,Multiple Txs (Old),2026-03-08,Spent/Active,Likely Known/Exchange,Legacy (1...),
5,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,,28151.06 BTC,28151.06 BTC,0.00 BTC,211.0,Multiple Txs (Old),Unknown,Dormant,Unspent/Lost Keys?,Legacy (1...),
6,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,,20008.00 BTC,20008.66 BTC,0.66 BTC,118.0,Multiple Txs (Old),2026-03-08,Spent/Active,Unknown,Legacy (1...),
7,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,,19414.43 BTC,19414.43 BTC,0.00 BTC,150.0,Multiple Txs (Old),2026-03-08,Dormant,Unspent/Lost Keys?,Legacy (1...),
8,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,,15745.56 BTC,15745.57 BTC,0.01 BTC,108.0,Multiple Txs (Old),2026-03-08,Spent/Active,Unknown,Legacy (1...),
9,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,,10770.54 BTC,10770.54 BTC,0.00 BTC,128.0,Multiple Txs (Old),2026-03-08,Dormant,Unspent/Lost Keys?,Legacy (1...),
10,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,,10000.03 BTC,10000.03 BTC,0.00 BTC,72.0,Multiple Txs (Old),2026-02-25,Dormant,Unspent/Lost Keys?,Legacy (1...),
11,1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,,9424.78 BTC,9424.78 BTC,0.00 BTC,61.0,Multiple Txs (Old),2026-02-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
12,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,,9260.02 BTC,9260.02 BTC,0.00 BTC,113.0,Multiple Txs (Old),2026-02-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
13,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,,8999.01 BTC,8999.01 BTC,0.00 BTC,78.0,Multiple Txs (Old),2026-02-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
14,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,,8020.70 BTC,8020.70 BTC,0.00 BTC,50.0,Multiple Txs (Old),2026-01-23,Dormant,Unspent/Lost Keys?,Legacy (1...),
15,3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,,8000.03 BTC,8000.03 BTC,0.00 BTC,29.0,Multiple Txs (Old),2026-02-27,Dormant,Unspent/Lost Keys?,P2SH (3...),
16,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,,8000.01 BTC,8000.01 BTC,0.00 BTC,327.0,Multiple Txs (Old),2026-03-08,Dormant,Unspent/Lost Keys?,Legacy (1...),
17,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,wallet: 559,7941.07 BTC,14288.19 BTC,6347.12 BTC,138.0,Multiple Txs (Old),2026-02-27,Spent/Active,Likely Known/Exchange,Legacy (1...),
18,13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,,7000.14 BTC,7000.14 BTC,0.00 BTC,31.0,Multiple Txs (Old),2026-01-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
19,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,,7000.01 BTC,7000.01 BTC,0.00 BTC,57.0,Multiple Txs (Old),2026-01-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
21,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,,6999.00 BTC,6999.00 BTC,0.00 BTC,53.0,Multiple Txs (Old),2026-02-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
22,1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,,6877.72 BTC,6877.72 BTC,0.00 BTC,35.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
23,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,,6511.96 BTC,6511.96 BTC,0.00 BTC,38.0,Multiple Txs (Old),2026-02-02,Dormant,Unspent/Lost Keys?,Legacy (1...),
24,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,,6315.91 BTC,6315.91 BTC,0.00 BTC,41.0,Multiple Txs (Old),2026-02-21,Dormant,Unspent/Lost Keys?,Legacy (1...),
25,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,,6200.00 BTC,6200.00 BTC,0.00 BTC,38.0,Multiple Txs (Old),2026-01-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
26,138EMxwMtKuvCEUtm4qUfT2x344TSReyiT,,5907.56 BTC,5907.56 BTC,0.00 BTC,33.0,Multiple Txs (Old),2026-01-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
27,1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt,,5600.00 BTC,5600.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
28,1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n,,5595.32 BTC,5595.32 BTC,0.00 BTC,31.0,Multiple Txs (Old),2026-01-30,Dormant,Unspent/Lost Keys?,Legacy (1...),
29,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,wallet: 7507428,5075.00 BTC,5195.00 BTC,120.00 BTC,132.0,Multiple Txs (Old),2026-02-11,Spent/Active,Likely Known/Exchange,Legacy (1...),
30,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,,5000.02 BTC,5000.02 BTC,0.00 BTC,42.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
31,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,,5000.00 BTC,5000.00 BTC,0.00 BTC,41.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
32,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,,5000.00 BTC,5000.00 BTC,0.00 BTC,39.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
33,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,,5000.00 BTC,5000.00 BTC,0.00 BTC,38.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
34,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,,5000.00 BTC,5000.00 BTC,0.00 BTC,37.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,Legacy (1...),
35,12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1,,5000.00 BTC,5000.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-11-30,Dormant,Unspent/Lost Keys?,Legacy (1...),
36,1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC,,4900.01 BTC,4900.01 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-11-10,Dormant,Unspent/Lost Keys?,Legacy (1...),
37,1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo,,4900.00 BTC,4900.00 BTC,0.00 BTC,28.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
38,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,,4881.14 BTC,4881.14 BTC,0.00 BTC,37.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
39,1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm,,4792.00 BTC,4792.00 BTC,0.00 BTC,37.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
40,1Kq6hXXiSpdp9bg9hDDyqm8ZfvgZmzchjn,,4699.40 BTC,4699.40 BTC,0.00 BTC,28.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
41,16aEn4p6hK4FMpLtJGpoQZMZ946sDg1Z6n,,4503.26 BTC,4503.26 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
42,1MLiPwYjNACQHREFKwGtkPpWgd8PqpbuQ4,,4486.86 BTC,4486.86 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
