Rank,Address,Label,Balance
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,wallet: MtGox-Hack,"79,957 BTC"
2,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,,"53,880 BTC"
3,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,,"51,830 BTC"
4,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,wallet: 967,"31,000 BTC"
5,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,,"28,151 BTC"
6,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,,"20,008 BTC"
7,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,,"19,414 BTC"
8,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,,"15,746 BTC"
9,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,,"10,771 BTC"
10,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,,"10,000 BTC"
11,1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,,"9,425 BTC"
12,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,,"9,260 BTC"
13,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,,"8,999 BTC"
14,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,,"8,021 BTC"
15,3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,,"8,000 BTC"
16,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,,"8,000 BTC"
17,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,wallet: 559,"7,941 BTC"
18,13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,,"7,000 BTC"
19,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,,"7,000 BTC"
20,324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq,,"7,000 BTC"
21,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,,"6,999 BTC"
22,1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,,"6,878 BTC"
23,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,,"6,512 BTC"
24,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,,"6,316 BTC"
25,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,,"6,200 BTC"
26,138EMxwMtKuvCEUtm4qUfT2x344TSReyiT,,"5,908 BTC"
27,1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt,,"5,600 BTC"
28,1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n,,"5,595 BTC"
29,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,wallet: 7507428,"5,075 BTC"
