Accessibility,Address,Analyzed,Balance,Balance_dormant,Current Balance,Label,Nonces_Checked,Potential_Weakness,Rank,Status,Total Received,Total Sent,Transactions,Type
Likely Stolen/Frozen,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,True,,"79,957 BTC",79957.27 BTC,wallet: MtGox-Hack,False,High Analysis Priority (Lattice/Bias),1,Dormant,79957.27 BTC,0.00 BTC,671.0,Legacy (1...)
Unspent/Lost Keys?,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,True,,"53,880 BTC",53880.07 BTC,,False,High Analysis Priority (Lattice/Bias),2,Dormant,53880.07 BTC,0.00 BTC,245.0,Legacy (1...)
Unspent/Lost Keys?,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,True,,"51,830 BTC",51830.40 BTC,,False,High Analysis Priority (Lattice/Bias),3,Dormant,51830.40 BTC,0.00 BTC,159.0,Legacy (1...)
Likely Known/Exchange,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,True,,"31,000 BTC",31000.08 BTC,wallet: 967,True,High Analysis Priority (Lattice/Bias),4,Spent/Active,52700.08 BTC,21700.00 BTC,250.0,Legacy (1...)
Unspent/Lost Keys?,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,True,,"28,151 BTC",28151.06 BTC,,False,High Analysis Priority (Lattice/Bias),5,Dormant,28151.06 BTC,0.00 BTC,212.0,Legacy (1...)
Unknown,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,True,,"20,008 BTC",20008.00 BTC,,True,High Analysis Priority (Lattice/Bias),6,Spent/Active,20008.66 BTC,0.66 BTC,118.0,Legacy (1...)
Unspent/Lost Keys?,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,True,,"19,414 BTC",19414.43 BTC,,False,High Analysis Priority (Lattice/Bias),7,Dormant,19414.43 BTC,0.00 BTC,150.0,Legacy (1...)
Unknown,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,True,,"15,746 BTC",15745.56 BTC,,True,High Analysis Priority (Lattice/Bias),8,Spent/Active,15745.57 BTC,0.01 BTC,108.0,Legacy (1...)
Unspent/Lost Keys?,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,True,,"10,771 BTC",10770.54 BTC,,False,High Analysis Priority (Lattice/Bias),9,Dormant,10770.54 BTC,0.00 BTC,128.0,Legacy (1...)
Unspent/Lost Keys?,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,True,,"10,000 BTC",10000.03 BTC,,False,High Analysis Priority (Lattice/Bias),10,Dormant,10000.03 BTC,0.00 BTC,72.0,Legacy (1...)
Unspent/Lost Keys?,1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,True,,"9,425 BTC",9424.78 BTC,,False,High Analysis Priority (Lattice/Bias),11,Dormant,9424.78 BTC,0.00 BTC,61.0,Legacy (1...)
Unspent/Lost Keys?,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,True,,"9,260 BTC",9260.02 BTC,,False,High Analysis Priority (Lattice/Bias),12,Dormant,9260.02 BTC,0.00 BTC,113.0,Legacy (1...)
Unspent/Lost Keys?,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,True,,"8,999 BTC",8999.01 BTC,,False,High Analysis Priority (Lattice/Bias),13,Dormant,8999.01 BTC,0.00 BTC,78.0,Legacy (1...)
Unspent/Lost Keys?,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,True,,"8,021 BTC",8020.70 BTC,,False,High Analysis Priority (Lattice/Bias),14,Dormant,8020.70 BTC,0.00 BTC,50.0,Legacy (1...)
Unspent/Lost Keys?,3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,True,,"8,000 BTC",8000.03 BTC,,False,High Analysis Priority (Lattice/Bias),15,Dormant,8000.03 BTC,0.00 BTC,29.0,P2SH (3...)
Unspent/Lost Keys?,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,True,,"8,000 BTC",8000.01 BTC,,False,High Analysis Priority (Lattice/Bias),16,Dormant,8000.01 BTC,0.00 BTC,325.0,Legacy (1...)
Likely Known/Exchange,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,True,,"7,941 BTC",7941.07 BTC,wallet: 559,True,High Analysis Priority (Lattice/Bias),17,Spent/Active,14288.19 BTC,6347.12 BTC,138.0,Legacy (1...)
Unspent/Lost Keys?,13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,True,,"7,000 BTC",7000.14 BTC,,False,High Analysis Priority (Lattice/Bias),18,Dormant,7000.14 BTC,0.00 BTC,31.0,Legacy (1...)
Unspent/Lost Keys?,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,True,,"7,000 BTC",7000.01 BTC,,False,High Analysis Priority (Lattice/Bias),19,Dormant,7000.01 BTC,0.00 BTC,57.0,Legacy (1...)
Unspent/Lost Keys?,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,True,,"6,999 BTC",6999.00 BTC,,False,High Analysis Priority (Lattice/Bias),21,Dormant,6999.00 BTC,0.00 BTC,53.0,Legacy (1...)
Unspent/Lost Keys?,1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,True,,"6,878 BTC",6877.72 BTC,,False,High Analysis Priority (Lattice/Bias),22,Dormant,6877.72 BTC,0.00 BTC,35.0,Legacy (1...)
Unspent/Lost Keys?,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,True,,"6,512 BTC",6511.96 BTC,,False,High Analysis Priority (Lattice/Bias),23,Dormant,6511.96 BTC,0.00 BTC,38.0,Legacy (1...)
,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,True,"6,316 BTC","6,316 BTC",,,False,High Analysis Priority (Lattice/Bias),24,,,,,
,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,True,"6,200 BTC","6,200 BTC",,,False,High Analysis Priority (Lattice/Bias),25,,,,,
,138EMxwMtKuvCEUtm4qUfT2x344TSReyiT,True,"5,908 BTC","5,908 BTC",,,False,High Analysis Priority (Lattice/Bias),26,,,,,
,1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt,True,"5,600 BTC","5,600 BTC",,,False,High Analysis Priority (Lattice/Bias),27,,,,,
,1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n,True,"5,595 BTC","5,595 BTC",,,False,High Analysis Priority (Lattice/Bias),28,,,,,
,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,True,"5,075 BTC","5,075 BTC",,wallet: 7507428,False,High Analysis Priority (Lattice/Bias),29,,,,,
,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),30,,,,,
,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),31,,,,,
,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),32,,,,,
,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),33,,,,,
,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),34,,,,,
,12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1,True,"5,000 BTC","5,000 BTC",,,False,High Analysis Priority (Lattice/Bias),35,,,,,
,1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC,True,"4,900 BTC","4,900 BTC",,,False,High Analysis Priority (Lattice/Bias),36,,,,,
,1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo,True,"4,900 BTC","4,900 BTC",,,False,High Analysis Priority (Lattice/Bias),37,,,,,
,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,True,"4,881 BTC","4,881 BTC",,,False,High Analysis Priority (Lattice/Bias),38,,,,,
,1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm,True,"4,792 BTC","4,792 BTC",,,False,High Analysis Priority (Lattice/Bias),39,,,,,
,1Kq6hXXiSpdp9bg9hDDyqm8ZfvgZmzchjn,True,"4,699 BTC","4,699 BTC",,,False,High Analysis Priority (Lattice/Bias),40,,,,,
,16aEn4p6hK4FMpLtJGpoQZMZ946sDg1Z6n,True,"4,503 BTC","4,503 BTC",,,False,High Analysis Priority (Lattice/Bias),41,,,,,
,1MLiPwYjNACQHREFKwGtkPpWgd8PqpbuQ4,True,"4,487 BTC","4,487 BTC",,,False,High Analysis Priority (Lattice/Bias),42,,,,,
,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,True,"4,333 BTC","4,333 BTC",,,False,High Analysis Priority (Lattice/Bias),43,,,,,
